1 0 0
2 0 0
3 0 0
4 0 0
5 0 0
6 0 0
7 9 0
8 27 0
9 81 0
10 189 9
11 630 36
12 1350 144
13 4860 468
14 10044 1872
15 39618 5760
16 80514 25200
17 336798 76230
18 678942 360459
19 2963799 1164789
20 5950935 5915439
21 26775765 23071725
22 53656533 123868125
23 247026087 597572325
24 494535591 3343557861
25 2317926699 17921233809
26 4638119211 103356298413
27 22055776101 556204870566
28 44122326885 3279975620184
29 212332232385 17015466675348
30 424716316353 102041359206192
31 2064452456493 508898068420896
32 4129156952109 3092250649379364
33 20242940093541 15032027476833678
34 40487115793509 92320543964306646
35 199952652301038 446098234193556750
36 399911406858990 2764349426207245500
37 1987754558931900 13518088459054237692
38 3975539449054140 84411555825890903526
39 19872323043555222 422069062166916334254
40 39744797702059926 2653154748347601030120
